day,hour,spends,transactions,items
2010-01-16,14,108.16999999999996,4,29
2010-01-16,15,100.08999999999997,2,32
2010-01-16,16,52.0,3,17
2010-01-16,17,78.51000000000002,3,29
2010-01-16,18,274.1700000000001,5,82
2010-01-16,19,35.269999999999996,1,17
2010-01-17,9,35.14000000000001,1,15
2010-01-17,10,139.87,2,39
2010-01-17,11,165.16,2,39
2010-01-17,13,94.22999999999998,4,30
2010-01-17,14,78.52,2,24
2010-01-17,15,265.98000000000013,4,71
2010-01-17,16,37.220000000000006,2,11
2010-01-17,17,20.97,1,7
2010-01-17,18,156.64000000000004,4,41
2010-01-17,19,27.609999999999996,2,10
2010-01-17,20,49.330000000000005,1,12
2010-01-18,11,83.16999999999999,2,26
2010-01-18,12,185.85000000000008,3,50
2010-01-18,13,119.71,2,34
2010-01-18,14,30.81,4,16
2010-01-18,15,32.59,3,12
2010-01-18,16,44.470000000000006,1,14
2010-01-18,17,38.0,1,7
2010-01-18,18,427.23000000000025,5,107
2010-01-18,20,32.63,1,14
2010-01-19,9,46.26,1,17
2010-01-19,10,293.79000000000013,1,50
2010-01-19,12,44.100000000000016,3,25
2010-01-19,13,51.57,1,8
2010-01-19,14,102.42999999999999,3,29
2010-01-19,15,63.11000000000001,2,13
2010-01-19,16,37.74,3,15
2010-01-19,17,25.229999999999997,2,17
2010-01-19,19,232.38000000000017,1,54
2010-01-19,21,123.05999999999995,4,35
2010-01-20,9,26.260000000000005,1,9
2010-01-20,10,29.6,1,8
2010-01-20,11,46.14,1,18
2010-01-20,13,41.080000000000005,2,11
2010-01-20,14,80.76999999999998,1,28
2010-01-20,15,112.21000000000002,2,24
2010-01-20,17,159.84,4,43
2010-01-20,18,129.68999999999997,1,23
2010-01-20,19,39.49,1,13
2010-01-20,20,121.63999999999996,2,37
2010-01-20,21,122.75999999999996,3,39
2010-01-21,12,37.17,1,3
2010-01-21,13,10.68,1,2
2010-01-21,14,17.63,1,3
2010-01-21,15,15.61,1,4
2010-01-21,16,119.23999999999997,3,39
2010-01-21,17,66.19,2,17
2010-01-21,19,185.0300000000001,2,52
2010-01-21,20,5.890000000000001,1,2
2010-01-21,21,46.010000000000005,2,21
2010-01-22,10,46.959999999999994,1,12
2010-01-22,12,73.02,1,13
2010-01-22,14,13.98,1,11
2010-01-22,15,53.690000000000005,1,12
2010-01-22,16,117.56999999999998,4,32
2010-01-22,18,160.86999999999995,2,39
2010-01-22,21,24.049999999999997,1,5
2010-01-23,9,163.77,3,34
2010-01-23,10,249.47000000000014,2,76
2010-01-23,11,119.57999999999998,2,45
2010-01-23,12,230.2900000000001,3,40
2010-01-23,14,431.6300000000002,4,102
2010-01-23,15,293.11000000000007,2,68
2010-01-23,16,110.75999999999995,3,40
2010-01-23,18,9.51,1,4
2010-01-23,19,5.800000000000001,1,3
2010-01-24,9,121.92999999999999,3,34
2010-01-24,10,110.71000000000001,3,33
2010-01-24,11,123.02,1,39
2010-01-24,12,295.49,2,94
2010-01-24,14,263.2200000000001,4,62
2010-01-24,15,102.30999999999996,2,23
2010-01-24,17,15.32,2,5
2010-01-24,18,58.130000000000024,2,24
2010-01-24,20,21.48,2,8
2010-01-25,11,41.1,2,10
2010-01-25,12,122.54999999999998,3,37
2010-01-25,14,26.060000000000002,1,4
2010-01-25,15,222.04000000000008,3,71
2010-01-25,16,107.76999999999998,2,23
2010-01-25,17,58.13000000000001,2,17
2010-01-25,18,18.469999999999995,1,8
2010-01-25,19,122.84999999999998,1,25
2010-01-25,20,37.46,2,14
2010-01-25,21,53.260000000000005,1,12
2010-01-26,10,24.74,1,13
2010-01-26,11,19.630000000000003,1,7
2010-01-26,12,15.74,2,4
2010-01-26,13,113.17999999999994,3,21
2010-01-26,16,100.95999999999997,2,24
2010-01-26,17,20.130000000000003,1,9
2010-01-26,18,65.00000000000001,2,20
2010-01-26,19,9.67,1,3
2010-01-26,20,7.68,1,2
2010-01-26,21,5.57,2,3
2010-01-27,9,3.49,1,1
2010-01-27,11,80.97999999999999,2,31
2010-01-27,14,24.63,1,7
2010-01-27,15,17.8,1,8
2010-01-27,16,44.599999999999994,2,23
2010-01-27,17,20.36,1,7
2010-01-27,18,131.98999999999998,3,21
2010-01-27,19,22.17,2,3
2010-01-27,21,43.1,2,17
2010-01-28,10,7.68,1,2
2010-01-28,11,105.84999999999998,1,35
2010-01-28,12,302.4400000000001,6,89
2010-01-28,16,189.99000000000007,4,61
2010-01-28,17,10.98,1,2
